age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC
270,77,2.562544608,4.7,0.660672,14.4,1.435256738,0.7122,0.056976,1.31,0.524,0.81,0.405,0.81,0.405,1,0.2,1,0.2,1.02,0.51,1.02,0.51,0.040234688,0.020117344,1.5,5,1.5,5,1.1,0.1925,0.75,0.16875
260,71,4.465351479,4,0.3382128,16.2,0.936205985,0.6983,0.055864,1.31,0.524,0.84,0.42,0.84,0.42,1,0.2,1,0.2,0.97,0.485,0.97,0.485,0.041422301,0.020711151,1.8,5,1.8,5,1.14,0.1995,0.75,0.16875
250,73,8.111908001,1,0.4895712,19.2,2.371384968,0.6853,0.054824,1.43,0.572,0.86,0.43,0.86,0.43,1,0.2,1,0.2,0.96,0.48,0.96,0.48,0.042609915,0.021304958,1.9,5,1.9,5,1.11,0.19425,0.75,0.16875
240,75,2.62299964,2,0.2462076,20.4,1.878424872,0.6733,0.053864,1.36,0.544,0.89,0.445,0.89,0.445,1,0.2,1,0.2,0.94,0.47,0.94,0.47,0.043797529,0.021898765,1.7,5,1.7,5,1.09,0.19075,0.75,0.16875
230,78,1.641547689,2.5,0.3847536,20.5,0.388501394,0.6625,0.053,1.39,0.556,0.88,0.44,0.88,0.44,1,0.2,1,0.2,0.96,0.48,0.96,0.48,0.044985143,0.022492572,1.7,5,1.7,5,1.1,0.1925,0.75,0.16875
220,78,0.985739356,3.5,0.196524,19.3,0.266333125,0.6531,0.052248,1.23,0.492,0.9,0.45,0.9,0.45,1,0.2,1,0.2,0.98,0.49,0.98,0.49,0.047101981,0.023550991,1.7,5,1.7,5,1.12,0.196,0.75,0.16875
210,78,3.060057145,2.5,0.383574975,18.1,0.319499609,0.6451,0.051608,1.23,0.492,0.9,0.45,0.9,0.45,1,0.2,1,0.2,1.01,0.505,1.01,0.505,0.049218819,0.02460941,1.8,5,1.8,5,1.14,0.1995,0.75,0.16875
200,75,2.104134882,2,0.1879056,17.9,2.642524046,0.6388,0.051104,1.36,0.544,0.91,0.455,0.91,0.455,1,0.2,1,0.2,1.02,0.51,1.02,0.51,0.051335658,0.025667829,1.8,5,1.8,5,1.1,0.1925,0.75,0.16875
190,76,2.410689041,1.06,0.3734748,17.8,0.335459883,0.6342,0.050736,1.36,0.544,0.91,0.455,0.91,0.455,1,0.2,1,0.2,1.03,0.515,1.03,0.515,0.05262826,0.02631413,1.6,5,1.6,5,1.09,0.19075,0.75,0.16875
180,75,1.91756914,1.22,0.2887056,17.7,1.136802533,0.6315,0.05052,1.25,0.5,0.89,0.445,0.89,0.445,1,0.2,1,0.2,1.05,0.525,1.05,0.525,0.053920861,0.026960431,1.3,5,1.3,5,1.14,0.1995,0.75,0.16875
170,69,2.05173604,1.38,0.315702,17.3,0.800699694,0.6309,0.050472,1.25,0.5,0.87,0.435,0.87,0.435,1,0.2,1,0.2,1.1,0.55,1.1,0.55,0.055213463,0.027606732,1,5,1,5,1.21,0.21175,0.75,0.16875
160,68,1.977830284,1.54,0.3146544,17.4,0.166373075,0.6324,0.050592,1.25,0.5,0.85,0.425,0.85,0.425,1,0.2,1,0.2,1.12,0.56,1.12,0.56,0.055843643,0.027921822,0.7,5,0.7,5,1.27,0.22225,0.75,0.16875
150,69,2.874006237,1.7,0.383574975,16.5,0.936205985,0.6362,0.050896,1.24,0.496,0.83,0.415,0.83,0.415,1,0.2,1,0.2,1.13,0.565,1.13,0.565,0.056473823,0.028236912,0.4,5,0.4,5,1.27,0.22225,0.75,0.16875
140,71,1.422186418,1.2,0.3734964,17.1,1.551400801,0.6424,0.051392,1.04,0.416,0.84,0.42,0.84,0.42,1,0.2,1,0.2,1.15,0.575,1.15,0.575,0.057104002,0.028552001,0,5,0,5,1.267,0.221725,0.767,0.172575
130,73,0.644319279,2,0.2658024,17.3,0.774025428,0.651,0.05208,1.04,0.416,0.86,0.43,0.86,0.43,1,0.2,1,0.2,1.17,0.585,1.17,0.585,0.056086113,0.028043057,-0.4,5,-0.4,5,1.483,0.259525,0.783,0.176175
120,72,1.552958336,2.5,0.383574975,16.4,0.584829009,0.6622,0.052976,1.04,0.416,0.88,0.44,0.88,0.44,1,0.2,1,0.2,1.18,0.59,1.18,0.59,0.055068223,0.027534112,-0.5,5,-0.5,5,1.657,0.289975,0.8,0.18
110,73,1.382188091,2.7,0.214488,15.7,0.267771725,0.6759,0.054072,1.04,0.416,0.85,0.425,0.85,0.425,1,0.2,1,0.2,1.18,0.59,1.18,0.59,0.052402062,0.026201031,-0.7,5,-0.7,5,1.723,0.301525,0.817,0.183825
100,74,1.376407709,2.6,0.2423592,17.4,0.606932945,0.6923,0.055384,1.04,0.416,0.82,0.41,0.82,0.41,1,0.2,1,0.2,1.18,0.59,1.18,0.59,0.049735901,0.024867951,-0.9,5,-0.9,5,1.643,0.287525,0.833,0.187425
90,75.16666667,1.6460974,2.5,0.3099672,18.5,0.140217943,0.7113,0.056904,0.88,0.352,0.81,0.405,0.81,0.405,1,0.2,1,0.2,1.19,0.595,1.19,0.595,0.050252982,0.025126491,-1.1,5,-1.1,5,1.397,0.244475,0.85,0.19125
80,76.16666667,1.632271901,2.4,0.1850832,18.4,0.286957106,0.7329,0.058632,0.88,0.352,0.79,0.395,0.79,0.395,1,0.2,1,0.2,1.19,0.595,1.19,0.595,0.050770063,0.025385032,-1.2,5,-1.2,5,1.333,0.233275,0.867,0.195075
70,78,1.866222523,2.4,0.1271844,18.9,0.416757693,0.7572,0.060576,0.88,0.352,0.87,0.435,0.87,0.435,1,0.2,1,0.2,1.2,0.6,1.2,0.6,0.051287144,0.025643572,-1.4,5,-1.4,5,1.34,0.2345,0.883,0.198675
60,78.5,1.193763254,2.3,0.4825656,18.3,0.278637608,0.7842,0.062736,1.26,0.504,0.94,0.47,0.94,0.47,1,0.2,1,0.2,1.15,0.575,1.15,0.575,0.045954821,0.022977411,-0.8,5,-0.8,5,1.353,0.236775,0.9,0.2025
50,78,0.693546005,2.2,0.4480236,18.9,0.608302702,0.8138,0.065104,1.1,0.44,0.92,0.46,0.92,0.46,1,0.2,1,0.2,1.1,0.55,1.1,0.55,0.040622498,0.020311249,0.1,5,0.1,5,1.427,0.249725,0.917,0.206325
40,78.33333333,1.137572269,2.2,0.3349224,22.2,0.071800228,0.846,0.06768,1.1,0.44,0.91,0.455,0.91,0.455,1,0.2,1,0.2,1.08,0.54,1.08,0.54,0.035290176,0.017645088,0.1,5,0.1,5,1.247,0.218225,0.933,0.209925
30,80.83333333,2.009774665,2.2,0.1333584,21.8,0.172329781,0.8807,0.070456,1.29,0.516,1,0.5,1,0.5,1,0.2,1,0.2,1.06,0.53,1.06,0.53,0.029957853,0.014978927,0.1,5,0.1,5,1.057,0.184975,0.95,0.21375
20,85.5,3.739683628,2,0.3898224,21.9,0.071375066,0.918,0.07344,0.99,0.396,1,0.5,1,0.5,1,0.2,1,0.2,1.04,0.52,1.04,0.52,0.029957853,0.014978927,0,5,0,5,0.993,0.173775,0.967,0.217575
10,89.66666667,1.578155863,1.7,0.3249216,22.1,0.099132131,0.9578,0.076624,1,0.4,1,0.5,1,0.5,1,0.2,1,0.2,1.02,0.51,1.02,0.51,0.029957853,0.014978927,0,5,0,5,0.98,0.1715,0.983,0.221175
0,91.25,1.106233667,1.5,0.2490876,21.8,0.186040812,1,0.08,1,0.4,1,0.5,1,0.5,1,0.2,1,0.2,1,0.5,1,0.5,0.029957853,0.014978927,0,5,0,5,1,0.175,1,0.225
