Age,Type,CO2
21.46746063,alkenones,341.1840795
21.73,stomata,809
21.75490952,alkenones,416.1947435
22.1,stomata,333.26
22.5,stomata,492.3
22.94,alkenones,461.8171313
22.9605,stomata,425
23,paleosols,203.002584
23.0015,stomata,1144
23.023,stomata,516
23.08449173,alkenones,559.262438
23.2,stomata,650.4
23.48,alkenones,410.1694865
23.5,stomata,475.81
23.56843185,alkenones,375.3283531
24,stomata,434
24.935,stomata,389
25,stomata,453
25.3,alkenones,416.2004149
25.55,paleosols,588
25.55,stomata,588.216
26.5,stomata,428.755
26.57,alkenones,655.7149185
27,stomata,394.5
27.23,stomata,384
27.85,alkenones,711.7747761
28.465,stomata,390
28.78,alkenones,730.2141084
29.21,alkenones,853.7484498
29.57,alkenones,971.8445958
29.64,alkenones,895.1637135
30.62,alkenones,764.7814419
30.75,stomata,671
31.27,alkenones,724.9614463
31.6,paleosols,264.5990609
31.6,paleosols,376.8347088
32.04,alkenones,743.2500167
32.58,alkenones,756.3681258
32.83,alkenones,740.4755118
32.91,alkenones,723.4797873
32.97,alkenones,726.5358757
32.983,d11B,550
33,stomata,383
33.1727,d11B,710
33.3324,d11B,890
33.45,stomata,409.395
33.45,alkenones,766.5484817
33.4705,d11B,930
33.57,alkenones,671.2888028
33.5903,d11B,690
33.69,alkenones,929.6320425
33.9581,d11B,870
34.17,paleosols,399.28
34.2077,d11B,960
34.4173,d11B,940
34.45,stomata,410.17
34.45,stomata,672.2222222
34.6253,d11B,810
34.69,alkenones,1038.217609
35.29,alkenones,878.8900497
35.5,stomata,745.890411
35.56,alkenones,918.540775
35.85,stomata,449.5
35.86,alkenones,947.350845
36,stomata,364.805
36.09,alkenones,1131.586325
36.48,alkenones,2622.279625
36.81,alkenones,1246.998487
36.9,d11B,770
37.1,alkenones,939.1873296
37.43,alkenones,1042.304558
38.25,alkenones,898.4541233
38.4,stomata,634
38.55,alkenones,797.5691852
38.62,alkenones,863.2975414
40.3,d11B,650
40.85,stomata,356
42.85,stomata,424
44.4,d11B,920
44.5,stomata,768
44.5,stomata,964.5
45,paleosols,780
45.6,d11B,1100
46.4,stomata,907.5
47.4,stomata,943
48,stomata,636.3960006
49.9,stomata,658.5
50.4846,paleosols,683.761
50.6,stomata,600
50.6,stomata,600
50.61,stomata,600
50.7313,paleosols,396.581
50.8899,paleosols,177.778
51.1101,paleosols,1285.47
51.14,paleosols,725
51.2335,paleosols,1353.85
51.3744,paleosols,970.94
51.4626,paleosols,1709.4
51.5154,paleosols,1299.15
51.7797,paleosols,902.564
51.84,paleosols,1210
51.9,paleosols,1260
51.9,liverworts,1867.6415
51.9824,paleosols,300.855
52.57,paleosols,750
52.81,paleosols,400
53.2,d11B,1400
53.5,paleosols,80
54.166,paleosols,813.6
54.233,stomata,442.877
54.29,stomata,327.362
54.29,stomata,514.951
54.7,stomata,377.715
54.856,paleosols,230.8
55.5,paleosols,100
55.5,paleosols,328
55.6,stomata,479.408
55.9,stomata,666.996
56.1,stomata,307
56.1,stomata,307
56.141,stomata,307
56.143,stomata,519.887
56.163,stomata,303.667
56.166,paleosols,460.8
56.4,stomata,312.553
56.464,stomata,315.515
56.491,paleosols,486.8
56.5,paleosols,100
56.5,paleosols,428
56.607,stomata,320.451
56.709,paleosols,579.2
56.743,stomata,314.528
56.743,stomata,318.477
56.743,stomata,318.477
57.154,stomata,468.547
57.309,paleosols,816.4
57.72,paleosols,474
58.136,stomata,446.827
58.8,liverworts,583.0464
59.875,stomata,534.697
59.875,stomata,574.189
60,stomata,322.34
61.1,stomata,317.489
63.6,paleosols,234.6482115
63.7,paleosols,212.0515165
63.8,stomata,366.855
63.8,stomata,469.0284422
63.8,stomata,470
63.8,stomata,578.4197802
63.8,stomata,595.3852296
63.8,stomata,731
63.8,stomata,746
64.13,stomata,330.324
64.5,liverworts,858
64.6,paleosols,199.594767
64.7,paleosols,288.9412738
64.815,paleosols,400
64.9,paleosols,175.1306916
65,paleosols,357.4930179
65.1,paleosols,277.6580551
65.15,paleosols,178.0669259
65.2,paleosols,360.4837424
65.24,paleosols,162.8042301
65.325,paleosols,340
65.37,paleosols,88.0518224
65.375,stomata,469.53
65.4,paleosols,297.7735777
65.5,stomata,418.08
65.5,stomata,631.1049405
65.521,paleosols,1047.517454
65.521,paleosols,1344.115117
65.61,paleosols,111.1693215
65.68995327,paleosols,1048.001514
65.77,paleosols,177.5259037
65.778,paleosols,1053.854729
65.778,paleosols,1418.354338
65.788,paleosols,1075.138063
65.809,paleosols,852.1121307
65.809,paleosols,1141.791824
65.819,paleosols,1237.872782
65.875,paleosols,300
65.882,paleosols,800.0737919
65.9,stomata,429.18
65.91,paleosols,53.75185942
65.923,paleosols,1250.505431
65.977,paleosols,805.5927028
66,stomata,873.3338218
66.08,paleosols,183.114299
66.10582152,paleosols,700.595698
66.22,paleosols,1059.244578
66.24,paleosols,277.3323049
66.261,paleosols,1467.567691
66.307,paleosols,863.4586258
66.38505114,paleosols,1170.876338
66.38505114,paleosols,1464.917531
66.43,paleosols,90.23969538
66.5,paleosols,42.47558375
66.5,paleosols,491.8670177
66.5,stomata,622.4641508
66.598,paleosols,1054.812554
66.59937084,paleosols,868.3255095
66.6,paleosols,14.9958495
66.60196471,paleosols,771.896641
66.64,paleosols,263.3140921
66.71,paleosols,452.7584014
66.7810671,paleosols,348.0741252
66.86,paleosols,425.7664442
66.919,paleosols,664.696246
66.93,paleosols,265.4759711
66.99,paleosols,219.1370561
67,stomata,648.52
67.04,paleosols,128.3242859
67.175,paleosols,300
67.175,paleosols,560
67.243,paleosols,806.2576068
67.393,paleosols,587.0932473
68.00350329,paleosols,1228.252481
68.12027499,paleosols,987.0750268
68.3,paleosols,175.0105056
68.449,paleosols,1332.876013
68.5,paleosols,10.43038521
68.504,paleosols,1685.632238
68.606,paleosols,822.3063261
68.606,paleosols,1373.043226
68.619,paleosols,1212.285206
68.66,paleosols,170.6899863
68.81,paleosols,109.7497738
68.869,paleosols,1609.413111
68.933,paleosols,1849.933037
68.98,paleosols,158.3612982
69.05,paleosols,60
69.05,paleosols,172
69.05,paleosols,252
69.05,paleosols,328
69.05,stomata,465
69.1,paleosols,138.293818
69.17930421,paleosols,812.7849061
69.25,paleosols,202.2382201
69.37,paleosols,145.0400459
69.39,paleosols,893.7432424
69.53,paleosols,344.5674386
69.637,paleosols,2174.657217
69.69,paleosols,203.5772588
69.88,paleosols,309.1113101
69.88162608,paleosols,1855.723314
70,paleosols,375.4600076
70,liverworts,670.3227
70.06,paleosols,328.6733358
70.083,paleosols,1263.509295
70.2,paleosols,121.5919932
70.33,paleosols,38.19272509
70.36166425,paleosols,1247.995813
70.49,paleosols,125.8925092
71.052,paleosols,3459.934989
71.35,paleosols,254.2082121
71.433,paleosols,1553.29884
71.45,paleosols,289.2475266
71.6,paleosols,294.3462289
72.10539566,paleosols,679.7424626
72.27589546,paleosols,992.1347225
72.5,stomata,558.9897328
72.55116651,paleosols,2454.498614
72.97968464,paleosols,1472.547965
73.1,stomata,568.424122
73.7,stomata,571.6977253
73.82814001,paleosols,1659.545819
74.22592074,paleosols,1395.662255
74.7,stomata,589.1256258
75.35760348,paleosols,2203.326272
75.4,stomata,592.8393714
75.77220307,paleosols,1737.866527
75.9,stomata,695.1100556
77.125,paleosols,480
77.85,paleosols,504
77.85,paleosols,1180
78.1,stomata,568.424122
79.9,stomata,581.9335313
81.5,stomata,585.4911836
83,paleosols,1522
83.25,paleosols,740
84.95,stomata,531.2031175
84.95,stomata,565.2162147
84.95,stomata,660.172314
92.15,paleosols,620.375
93.868,stomata,436.2
93.936,stomata,431.05
93.955,stomata,369.65
94.012,stomata,465.85
94.033,stomata,424.9
94.046,stomata,485.3
94.066,stomata,507.85
94.09,stomata,396.25
94.09,stomata,446.45
94.09,stomata,448.45
94.1,stomata,360.4
94.14,stomata,456.65
94.21,stomata,444.35
94.28,stomata,409.55
94.31,stomata,384
94.37,stomata,380.9
94.52,stomata,365.55
95.25,paleosols,1307.2
97.2,stomata,1027.5
98,paleosols,1520
100,paleosols,746
100.5,paleosols,1368
100.59,stomata,651
100.6,stomata,670
100.7,stomata,563
100.71,stomata,535
100.75,liverworts,797.1615
100.8,paleosols,763.2
100.83,stomata,1254
100.84,stomata,815
100.85,stomata,422
100.9,stomata,493
101.75,stomata,851.775
101.75,stomata,917.325
101.75,stomata,954
101.75,stomata,973.5
102,paleosols,1428
102.4,paleosols,620.8
102.5,paleosols,886
103,stomata,1048.5
103.1,paleosols,792
103.3,paleosols,1052
103.5,paleosols,1060
104.05,liverworts,829.80755
104.05,liverworts,977.1945
104.05,liverworts,1000.8842
104.125,stomata,710
104.6,paleosols,1246.4
104.7,paleosols,1139.2
104.8,paleosols,1254.4
106.1,paleosols,1399.2
106.4,paleosols,1474.4
106.5,paleosols,1679.2
106.6,paleosols,1496.8
106.75,paleosols,600
106.75,stomata,662
106.75,stomata,734
106.75,stomata,828
106.9,paleosols,1496
107.8,paleosols,1200.8
108.8,paleosols,1015.2
110.3,paleosols,1064.8
110.375,stomata,710
111.1,paleosols,1636.8
111.5,paleosols,996
111.5,paleosols,1966.4
111.8,paleosols,1880
111.875,liverworts,653.5093
112.3,paleosols,1828.8
112.6,stomata,846.0833333
112.6,stomata,856.4166667
112.7,paleosols,1419.2
113.4,paleosols,591.2
113.5,paleosols,449
113.5,paleosols,1335
113.8,paleosols,1295.2
114,stomata,981.5
114.8,paleosols,1514.4
114.9,paleosols,1426.4
115.3,paleosols,1367.2
115.5,paleosols,986
116,paleosols,1071
116.1,paleosols,1665.6
116.5,stomata,700
116.5,paleosols,1190
117,stomata,795.5
117.8,paleosols,1364
118,stomata,892.6229508
118.86,alkenones,761.9951837
118.86,alkenones,1903.992667
119.1365,alkenones,1226.623212
119.1365,alkenones,1379.298506
119.4,paleosols,1179
119.566,alkenones,1634.022914
119.566,alkenones,1746.151385
119.566,alkenones,2004.592701
119.566,alkenones,2005.346067
119.566,alkenones,2058.443357
119.65,paleosols,592
119.65,paleosols,904
119.65,paleosols,1076
119.65,paleosols,1084
119.9405,alkenones,1254.628183
119.9405,alkenones,1321.965487
119.9405,alkenones,1844.591634
119.9405,alkenones,1894.482964
119.9405,alkenones,1941.765933
119.9405,alkenones,2187.059149
120.135,alkenones,895.5945104
120.135,alkenones,914.7961523
120.135,alkenones,1098.802029
120.135,alkenones,1117.470931
120.135,alkenones,1436.647926
120.135,alkenones,1596.129513
120.31,alkenones,971.6179582
120.31,alkenones,974.9345367
120.95,stomata,823.5833333
120.95,stomata,839.0833333
121,stomata,572.85
121,stomata,592.875
121,stomata,733.875
121,stomata,769.35
121,stomata,781.95
121,stomata,784.125
121,stomata,836.85
121,stomata,867.3
121,stomata,867.3
121,stomata,907.875
121,stomata,1059.975
121,stomata,1059.975
121.9,liverworts,1050.542
123,stomata,695
123.3,paleosols,736
123.6,paleosols,607.2
123.7,paleosols,824
123.8,paleosols,1017.6
124.65,stomata,630
124.65,stomata,1008.333333
126.4,paleosols,1064.8
126.6,paleosols,1509.6
127.5,paleosols,1704
127.85,paleosols,392.5285481
127.9,stomata,591.8478261
127.9,stomata,630
129.8,paleosols,940
130.1,paleosols,1150
130.1,paleosols,112
130.15,stomata,550
130.2,paleosols,1023.2
130.8,paleosols,842.4
131.3,paleosols,1909.6
131.4,stomata,620
131.45,stomata,776
131.6,stomata,513
132,paleosols,2561.6
132.95,stomata,650
134.25,paleosols,653.3333333
135.1,stomata,1448.161765
135.65,paleosols,923.5978
137.9,paleosols,173.7357121
139.25,liverworts,982.026
139.45,stomata,1150.573642
139.45,stomata,1228.140404
139.45,stomata,1442.011821
142,stomata,735.8108108
142,stomata,812.6865672
142.2,paleosols,560
143.5,paleosols,232.3598661
143.5,stomata,972.3214286
148,stomata,735.8108108
153.4,stomata,938.7931034
154.7,paleosols,1272
