Age,Type,CO2
26.04771,phytoplankton,465.21
26.10296,phytoplankton,407.48
26.12799,phytoplankton,425.65
26.57,phytoplankton,524.91
27.85,phytoplankton,557.54
28.11606,phytoplankton,337.21
28.5637,phytoplankton,558.31
28.78,phytoplankton,571.19
29.21,phytoplankton,664.84
29.57,phytoplankton,731.06
29.64,phytoplankton,682.07
30.03323,phytoplankton,549.82
30.06454,phytoplankton,395.34
30.09847,phytoplankton,660.74
30.1772,phytoplankton,603.41
30.71268,phytoplankton,588.15
30.71912,phytoplankton,573.98
31.27,phytoplankton,562.99
31.56215,phytoplankton,300.83
31.76227,phytoplankton,268.38
31.96196,phytoplankton,383.01
32.04,phytoplankton,594.67
32.16249,phytoplankton,402.39
32.32079,phytoplankton,672.44
32.36219,phytoplankton,319.44
32.52045,phytoplankton,574.09
32.58,phytoplankton,600.81
32.60534,phytoplankton,552.54
32.81976,phytoplankton,539.17
32.83,phytoplankton,576.08
32.91247,phytoplankton,344.02
33.17295,phytoplankton,332.56
33.22333,phytoplankton,297.35
33.25618,phytoplankton,375
33.25726,phytoplankton,492.94
33.32869,phytoplankton,596.02
33.36171,phytoplankton,777.89
33.43237,phytoplankton,392.2
33.47662,phytoplankton,377.47
33.48883,phytoplankton,384.33
33.57,phytoplankton,537.14
33.61336,phytoplankton,283.66
33.6141,phytoplankton,427.86
33.65063,phytoplankton,468.11
33.66737,phytoplankton,512.16
33.68825,phytoplankton,565.17
33.76833,phytoplankton,546.2
34.09877,phytoplankton,685.23
34.12404,phytoplankton,537.53
34.13918,phytoplankton,799.02
34.47721,phytoplankton,564.23
34.94417,phytoplankton,783.65
35.01875,phytoplankton,447.92
35.2336,phytoplankton,766.01
35.29,phytoplankton,671.52
35.36243,phytoplankton,564.62
35.4488,phytoplankton,766.67
35.55796,phytoplankton,786.06
35.56,phytoplankton,691.22
35.60014,phytoplankton,596.95
35.60171,phytoplankton,740.68
35.71835,phytoplankton,449.92
35.8863,phytoplankton,924.49
35.90729,phytoplankton,632.17
36.09,phytoplankton,824.36
36.10932,phytoplankton,525.13
36.11425,phytoplankton,600.76
36.16867,phytoplankton,787.76
36.60844,phytoplankton,578.04
36.65842,phytoplankton,776.84
36.81,phytoplankton,872.01
36.96465,phytoplankton,597.8
37.16077,phytoplankton,695.42
37.25021,phytoplankton,441.83
37.43,phytoplankton,763.48
38.13464,phytoplankton,960.23
38.18364,phytoplankton,588.05
38.25,phytoplankton,624.9
38.42507,phytoplankton,508.2
38.49119,phytoplankton,931.83
38.55,phytoplankton,677.44
38.62,phytoplankton,647.13
38.62106,phytoplankton,613.84
39.13465,phytoplankton,517.53
39.35215,phytoplankton,769.99
39.37068,phytoplankton,873.4
39.38288,phytoplankton,860.52
39.40147,phytoplankton,708.23
39.42325,phytoplankton,1071.17
39.43515,phytoplankton,750.45
39.46427,phytoplankton,588.78
39.51034,phytoplankton,1001.59
39.58087,phytoplankton,695.45
39.65139,phytoplankton,822.08
39.70543,phytoplankton,655.92
39.7759,phytoplankton,593.21
39.87116,phytoplankton,834.29
39.9742,phytoplankton,1027.5
40.2699,phytoplankton,659.45
40.80585,phytoplankton,1004.72
41.3368,phytoplankton,628.48
42.34766,phytoplankton,1014.59
42.92895,phytoplankton,1037.65
45.12822,phytoplankton,936.32
78,phytoplankton,991.7
81,phytoplankton,609.6
85,phytoplankton,663.7
86,phytoplankton,610.4
88,phytoplankton,764.4
90,phytoplankton,875.8
91,phytoplankton,704.6
94,phytoplankton,511.5
94,phytoplankton,721.1
94,phytoplankton,906.4
94,phytoplankton,1059.4
94,phytoplankton,893
94,phytoplankton,1016.3
94,phytoplankton,863.8
94,phytoplankton,1025.9
94,phytoplankton,1076.5
94,phytoplankton,1087.1
94,phytoplankton,1203
94,phytoplankton,696.1
94,phytoplankton,616.6
94,phytoplankton,639.9
94,phytoplankton,634.4
94,phytoplankton,801
95,phytoplankton,792
95,phytoplankton,1156.7
95,phytoplankton,1683
95,phytoplankton,1490.4
95,phytoplankton,1062.8
95,phytoplankton,903.4
95,phytoplankton,887.1
95,phytoplankton,899.2
95,phytoplankton,830.9
95,phytoplankton,1021.5
95,phytoplankton,1069.9
95,phytoplankton,863.1
95,phytoplankton,989.2
95,phytoplankton,875.3
96,phytoplankton,1239.5
96,phytoplankton,1114.3
96,phytoplankton,716.9
96,phytoplankton,680.9
96,phytoplankton,836.5
96,phytoplankton,1427.8
96,phytoplankton,1337.4
96,phytoplankton,1425.2
96,phytoplankton,923.2
96,phytoplankton,1130
96,phytoplankton,1024.1
96,phytoplankton,1224.8
96,phytoplankton,1021.5
96,phytoplankton,950.6
96,phytoplankton,851
96,phytoplankton,1173.5
97,phytoplankton,1134.9
97,phytoplankton,1186
97,phytoplankton,907.1
97,phytoplankton,1099.9
97,phytoplankton,1457
97,phytoplankton,911.3
97,phytoplankton,924.1
97,phytoplankton,1112.4
97,phytoplankton,1193.6
97,phytoplankton,1037.1
97,phytoplankton,902.3
97,phytoplankton,902.3
97,phytoplankton,935.2
99,phytoplankton,762.5
102,phytoplankton,1132.5
102,phytoplankton,935.3
111,phytoplankton,1127.3
115,phytoplankton,908.3
115,phytoplankton,997.4
116,phytoplankton,1289.7
116,phytoplankton,1280.2
116,phytoplankton,1188.8
117,phytoplankton,838.6
117,phytoplankton,1227.9
117,phytoplankton,1340
118,phytoplankton,1231.6
120,phytoplankton,1047.8
122,phytoplankton,895.8
122,phytoplankton,836.1
122,phytoplankton,975.2
124,phytoplankton,960.3
140,phytoplankton,822.5
140,phytoplankton,867.7
144,phytoplankton,643.2
145,phytoplankton,1062.4
145,phytoplankton,779.3
145,phytoplankton,732.7
145,phytoplankton,609
145,phytoplankton,586.2
146,phytoplankton,541.6
146,phytoplankton,693.1
146,phytoplankton,674.4
147,phytoplankton,724.7
148,phytoplankton,785.1
148,phytoplankton,588.6
148,phytoplankton,617.9
149,phytoplankton,747.1
149,phytoplankton,662.8
150,phytoplankton,727.2
150,phytoplankton,788.2
150,phytoplankton,601.3
155,phytoplankton,675.5
155,phytoplankton,707.3
155,phytoplankton,746.7
155,phytoplankton,661.8
155,phytoplankton,785
155,phytoplankton,654.1
155,phytoplankton,689.5
155,phytoplankton,786.1
155,phytoplankton,536.9
155,phytoplankton,1019.3
155,phytoplankton,936.3
159,phytoplankton,815.1
159,phytoplankton,759.3
177,phytoplankton,939
177,phytoplankton,987.6
178,phytoplankton,680.5
178,phytoplankton,1031.3
178,phytoplankton,975.9
178,phytoplankton,1022.2
178,phytoplankton,807.6
178,phytoplankton,666.8
178,phytoplankton,694.7
179,phytoplankton,966.4
179,phytoplankton,1037.2
180,phytoplankton,1013.8
180,phytoplankton,957.1
181,phytoplankton,983.7
181,phytoplankton,995.5
182,phytoplankton,795.9
182,phytoplankton,979.8
184,phytoplankton,645.9
200,phytoplankton,870.5
205,phytoplankton,1229.6
226,phytoplankton,1038.8
226,phytoplankton,1020.6
226,phytoplankton,1590.4
237,phytoplankton,741.4
242,phytoplankton,683.3
246,phytoplankton,1185.9
247,phytoplankton,1055.7
247,phytoplankton,1619.8
248,phytoplankton,423.2
253,phytoplankton,872.6
253,phytoplankton,1085.2
256,phytoplankton,694.9
262,phytoplankton,573.9
262,phytoplankton,462.5
