Age,Type,CO2
2.21,d11B,243.86
2.22691,phytoplankton,302.8
2.25466,paleosols,270.1
2.26288,paleosols,206.86
2.27981,phytoplankton,257.72
2.29668,paleosols,210.73
2.29807,phytoplankton,258.78
2.3,phytoplankton,300.47
2.30467,d11B,210.26
2.31,phytoplankton,205.29
2.34014,d11B,310.84
2.34174,paleosols,251.5
2.34723,d11B,369.1
2.34966,paleosols,187.16
2.35065,paleosols,181.33
2.35085,d11B,308.16
2.35164,paleosols,238.36
2.35362,paleosols,240.69
2.35758,phytoplankton,333.77
2.35808,d11B,300.91
2.36861,d11B,429.64
2.37892,d11B,397.52
2.38839,d11B,365.24
2.39671,d11B,372.63
2.40496,phytoplankton,452.26
2.41093,d11B,278.03
2.41717,d11B,441.68
2.42136,phytoplankton,275.45
2.42663,d11B,328.64
2.45451,d11B,317.71
2.45798,phytoplankton,354.87
2.47382,d11B,337.65
2.49,phytoplankton,296.42
2.49734,d11B,351.97
2.4983,d11B,349.77
2.49836,d11B,422.79
2.5016,phytoplankton,399.77
2.50294,d11B,289.32
2.51716,d11B,247.63
2.52358,phytoplankton,308.78
2.5322,phytoplankton,396.13
2.54044,d11B,333.81
2.54991,paleosols,266.4
2.55,d11B,230.77
2.55332,paleosols,246.57
2.55858,d11B,242.64
2.56014,paleosols,227.7
2.56696,paleosols,376.78
2.5724,d11B,303.13
2.57718,paleosols,341.21
2.5865,d11B,326.17
2.59,phytoplankton,190.31
2.5995,phytoplankton,194.45
2.60034,d11B,357.55
2.60086,d11B,201.37
2.60169,phytoplankton,246.56
2.60754,phytoplankton,147.63
2.60847,phytoplankton,294
2.61732,phytoplankton,170.5
2.61869,d11B,282.93
2.61966,phytoplankton,191.2
2.62,phytoplankton,317.48
2.62614,d11B,401.93
2.62686,d11B,304.93
2.62702,phytoplankton,147.03
2.63274,d11B,252.94
2.63361,phytoplankton,167.58
2.64229,phytoplankton,141.4
2.64736,d11B,283.71
2.65061,phytoplankton,221.28
2.65685,phytoplankton,196.48
2.66138,d11B,305.1
2.66622,phytoplankton,173.3
2.67105,d11B,263.9
2.67518,phytoplankton,145.24
2.67921,d11B,320.16
2.68,phytoplankton,324.42
2.68212,phytoplankton,168.64
2.68547,d11B,195.25
2.68616,d11B,282.43
2.68822,phytoplankton,264.64
2.69349,phytoplankton,264.25
2.69825,d11B,281.51
2.69876,phytoplankton,260.46
2.70222,d11B,278.59
2.70487,phytoplankton,211.4
2.70496,phytoplankton,299.24
2.70551,d11B,267.92
2.70551,d11B,239.5
2.70811,d11B,223.8
2.70903,phytoplankton,140.98
2.71004,d11B,312.87
2.71046,d11B,287.54
2.7143,phytoplankton,180.29
2.71609,d11B,262.25
2.71864,phytoplankton,200.31
2.74186,phytoplankton,203.65
2.74451,d11B,332.26
2.75057,d11B,376.3
2.75111,d11B,316.6
2.75156,d11B,251.12
2.75226,phytoplankton,169.04
2.76459,d11B,356.67
2.76614,phytoplankton,168.62
2.77286,d11B,292.8
2.77807,d11B,278.79
2.77872,d11B,332.98
2.78141,d11B,274.62
2.78156,phytoplankton,227.21
2.78961,phytoplankton,169.08
2.79,phytoplankton,225.24
2.79549,d11B,263.95
2.79952,d11B,280.1
2.80498,phytoplankton,406.91
2.80996,phytoplankton,202.7
2.81,phytoplankton,314.04
2.82,phytoplankton,206.03
2.82186,d11B,314.1
2.82345,d11B,352.26
2.82828,d11B,352.05
2.83234,d11B,376.25
2.84505,d11B,308.99
2.8515,phytoplankton,252.44
2.8616,phytoplankton,217.39
2.88,d11B,190.18
2.88285,d11B,421.06
2.89,phytoplankton,235.33
2.89839,phytoplankton,371.48
2.90163,phytoplankton,151.56
2.9162,d11B,365.89
2.91737,phytoplankton,189.88
2.91877,d11B,221.33
2.9267,phytoplankton,151.31
2.927,d11B,362.81
2.93813,phytoplankton,191.3
2.94,phytoplankton,236.39
2.94122,d11B,349.12
2.94122,d11B,321.94
2.94297,d11B,331.45
2.94364,phytoplankton,287.33
2.95022,d11B,350.06
2.95022,d11B,391.96
2.95669,d11B,341.79
2.9717,d11B,323.37
2.9807,phytoplankton,145.74
2.99,phytoplankton,290.94
2.99791,phytoplankton,403.28
2.99811,d11B,366.03
3.00057,d11B,301.32
3.00219,phytoplankton,144.37
3.00665,d11B,346.46
3.01618,phytoplankton,149.03
3.02,phytoplankton,319.43
3.02322,d11B,366.8
3.03414,phytoplankton,147.82
3.04193,d11B,412.62
3.05127,d11B,411.24
3.0608,d11B,349.91
3.06467,d11B,401.62
3.06799,d11B,373.11
3.06914,phytoplankton,198.36
3.07,phytoplankton,248.89
3.07133,phytoplankton,328.81
3.07392,d11B,246.18
3.08138,d11B,325.19
3.08346,phytoplankton,258
3.08717,phytoplankton,143.77
3.0912,d11B,330.52
3.0963,phytoplankton,154.23
3.09949,d11B,312.53
3.10491,d11B,251.6
3.10612,phytoplankton,152.3
3.1122,d11B,376.68
3.12,phytoplankton,233.23
3.12598,phytoplankton,202.29
3.13044,phytoplankton,152.48
3.13459,d11B,332
3.14671,d11B,326.23
3.1498,d11B,285.04
3.15175,d11B,377.09
3.15224,d11B,351.63
3.15305,d11B,331.48
3.15435,d11B,331.95
3.15533,d11B,318.31
3.15592,d11B,225.8
3.1568,d11B,458.65
3.15875,d11B,324.01
3.16,phytoplankton,321.16
3.16005,d11B,327.25
3.16011,d11B,525.26
3.16038,d11B,434.93
3.16057,phytoplankton,184.13
3.16192,d11B,403.7
3.16314,d11B,360.58
3.17,phytoplankton,262.29
3.17143,phytoplankton,241.05
3.17665,d11B,369.45
3.18088,d11B,282.72
3.18088,d11B,270.33
3.1814,phytoplankton,146.3
3.18153,d11B,309.25
3.18478,d11B,324.96
3.18527,d11B,335.65
3.18641,d11B,470.59
3.1899,phytoplankton,153.74
3.19083,d11B,396.78
3.19203,d11B,317.91
3.19595,d11B,432.02
3.19999,phytoplankton,152.7
3.20288,d11B,350
3.2044,d11B,360.95
3.2044,d11B,338.3
3.20469,d11B,362.43
3.2053,d11B,426.95
3.20831,d11B,361.09
3.20923,phytoplankton,150.15
3.21102,d11B,392.39
3.21614,d11B,350.62
