Age (Ma),pCO2 probability maximum,lw95%,up95%
273,443.77,162.19,791.52
273.5,432.28,181.29,809.1
274,525.87,198.47,838.79
274.5,543.87,203.49,883.14
275,555.97,211.13,915.25
275.5,551.32,221.71,941.32
276,560.26,232.19,969.52
276.5,571.31,254,973
277,583.06,271.05,1003.47
277.5,591.36,300.66,1024.57
278,611.66,315.56,1036.87
278.5,636.82,321.66,1044.37
279,665.83,332.48,1056.86
279.5,681.58,339.72,1070.69
280,690.31,350.57,1071.88
280.5,675.83,360.75,1058.34
281,651.44,360.57,1056.9
281.5,633.54,338.52,1049.02
282,625.92,335.37,1063.02
282.5,616.27,344.52,1055.2
283,610.6,349.5,1075.03
283.5,612.56,356.97,1067.41
284,610.79,360.12,1090.7
284.5,591.4,345.51,1086.13
285,596.6,327.11,1071.97
285.5,639.35,315.66,1082.17
286,642.91,319.24,1080.62
286.5,638.81,325.55,1056.9
287,616.91,346.34,1028.5
287.5,565.92,328.07,1009.25
288,562.52,323.7,1000.26
288.5,562.75,304.14,1002.45
289,555.52,296.37,981.19
289.5,547.9,287.45,967.83
290,545.09,281.6,962.97
290.5,563.61,279.15,962.41
291,549.54,251.75,976.1
291.5,527.59,225.98,968.89
292,518.39,206.79,963.98
292.5,499.24,194.53,970.74
293,479.8,195.62,947.94
293.5,491.52,175.23,940.03
294,436.08,165.24,940.08
294.5,414.43,143.57,917.39
295,404.65,119.1,926.48
295.5,396.44,107.46,943.36
296,399.84,107.34,948.69
296.5,443.74,120.16,953.46
297,444.7,127.86,957.04
297.5,454.52,125.56,963.64
298,458.31,108.15,960.94
298.5,453.17,95.81,957.68
299,451.66,93.64,930.87
299.5,386.74,100.18,897.51
300,408.82,110.65,862.19
300.5,380.44,119.96,854.2
301,383.28,133.3,847.43
301.5,399.46,138.41,845.56
302,415.97,134.72,825.68
302.5,407.48,128.37,808.26
303,400.31,138.06,806.72
303.5,388.03,138.34,812.35
304,370.49,127.48,841.27
304.5,356.03,115.88,833.31
305,352.46,96.16,844.53
305.5,359.45,99.27,839.93
306,365,89.22,820.36
306.5,374.69,98.93,811.15
307,377.01,105.13,794.08
307.5,360.06,102.52,785.85
308,342.73,109.07,770.04
308.5,333.01,108.96,750.55
309,335.51,119.89,715.86
309.5,356.02,129.7,681.01
310,351.73,138.84,636.69
310.5,349.07,151.58,595.87
311,338.07,164.11,566.37
311.5,338.39,165.17,553.95
312,341.09,177.38,545.45
312.5,336.22,184.25,527.14
313,329.22,201.63,500.08
313.5,320.64,201.91,471.88
314,319.46,202.31,461.33
314.5,326.8,201.55,457.45
315,328.59,199.23,458.45
315.5,329.94,195.88,456.27
316,335.45,189.26,468.71
316.5,335.98,186,484.3
317,355.25,175.06,496.88
317.5,351.25,166.28,518.1
318,341.63,151.22,537.68
318.5,330.39,145.65,546.03
319,325.74,133.43,554.16
319.5,332.5,132.15,567.06
320,336.78,115.4,587.15
320.5,337.86,102.45,605.34
321,340.63,96.92,614.3
321.5,337.34,94.58,618.07
322,331.15,100.4,620.91
322.5,324.96,101.25,611.67
323,333.29,106.57,592.38
323.5,360.13,102.92,584.91
324,355.61,96.94,575.6
324.5,343.08,92.38,581.48
325,339.44,85.83,583.78
325.5,347.44,82.09,569.51
326,352.07,84.62,563.62
326.5,347.33,83.11,558.12
327,316.52,75.96,549.14
327.5,306.49,67.83,556.08
328,303.27,54.81,558.76
328.5,298.4,45.86,567.44
329,291.55,38.92,570.76
329.5,275.45,26.5,573.8
330,260.02,16.38,572.89
330.5,296.54,0.96,577.83
331,296.25,-19.09,592.57
331.5,301.06,-20.31,600.61
332,300.26,-24.02,601.25
332.5,283.85,-17.68,599.66
333,262.84,-16.49,593.16
333.5,223.42,-22.11,593.23
334,216.78,-21.35,610.45
334.5,218.06,-18.53,619.01
335,219.25,-13.42,645.79
335.5,256.43,-6.62,670.7
336,268.43,3.26,683.78
336.5,242.82,-1.7,707.52
337,231.43,-7.31,737.11
337.5,235.61,-3.72,778.45
338,226.56,-3.12,818.26
338.5,225.06,-0.91,852.09
339,238.15,5.62,893.02
339.5,274.07,26.8,943.46
340,299.46,27.14,981.17
340.5,318.48,20.48,1003.65
341,321.74,20.33,1050.81
341.5,297.31,25.73,1080.75
342,331.21,37.37,1081.17
342.5,425.02,24.82,1093.35
343,489.35,14.66,1095.39
343.5,548.45,8.44,1129.03
344,564.74,-7.7,1155.99
344.5,551.14,-9.33,1177.48
345,522.39,-24.63,1228.67
345.5,514.32,-40.49,1266.61
346,510.03,-56.81,1306.69
346.5,518.31,-81.38,1383.57
347,542.51,-102.57,1468.08
347.5,563.37,-123.84,1542.4
348,585.47,-118.11,1581.27
348.5,620.29,-118.63,1606.04
349,644.64,-129.08,1627.2
349.5,648.88,-112.42,1651.1
350,647.81,-117.04,1673.4
350.5,668.68,-118.89,1703.91
351,681.12,-109.34,1723.53
351.5,698.35,-110.72,1777.1
352,699.26,-127,1763.07
352.5,621.12,-111.61,1785.92
353,579.88,-97.46,1788.76
353.5,576.33,-90.83,1820.77
354,588.87,-89.08,1841.95
354.5,593.52,-105.19,1892.97
355,589.04,-114.82,1949.51
355.5,583.19,-117.07,2010.18
356,583.12,-135.74,2098.85
356.5,589.88,-166.21,2157.18
357,585.7,-203.15,2195.92
357.5,586.41,-238.53,2217.87
358,572.86,-248.51,2207.31
358.5,575.1,-224.76,2212.88
359,590.22,-183.83,2207.94
359.5,646.14,-182.45,2213.08
360,699.76,-186.91,2189.33
360.5,721.04,-182.54,2167.18
361,704.84,-168.57,2127.23
361.5,654.83,-148.09,2100.47
362,637.95,-113.76,2023.43
362.5,627.41,-90.06,1993.93
363,803.6,-71.17,1939.79
363.5,905.53,-26.64,1899.5
364,851.18,15.11,1837.44
364.5,830.05,28.11,1815.46
365,832.07,43.32,1782.73
365.5,813.17,47.97,1753.25
366,776.76,51.49,1736.88
366.5,773.96,38.6,1770.64
367,800.26,46.07,1814.74
367.5,809.37,61.48,1844.57
368,797.64,67.84,1883.85
368.5,808.39,64.39,1932.43
369,809.75,35.15,1998.63
369.5,795.75,13.04,2032.37
370,810.78,3.43,2093.19
370.5,819.49,-44.95,2120.37
371,840.04,-87.74,2120.45
371.5,872.29,-96.1,2177.49
372,935.36,-105.78,2231.84
372.5,969.96,-105.33,2259.6
373,956.91,-85.06,2277.75
373.5,948.43,-89.27,2351.43
374,983.06,-91.78,2361.22
374.5,1021.99,-96.89,2367.98
375,1052.02,-142.51,2378.6
375.5,1150.59,-163.13,2385.62
376,1253.4,-187.97,2387.86
376.5,1312.13,-199.33,2398.71
377,1335.43,-202.21,2439.12
377.5,1355.12,-189.69,2461.87
378,1363.35,-179.87,2480.93
378.5,1306.52,-172.45,2518.6
379,1271.95,-147.92,2642.81
379.5,1265.19,-118.7,2732.36
380,1269.38,-105.89,2763.62
380.5,1223.35,-111.27,2838.46
381,1104.42,-96.88,2879.35
381.5,1062.01,-101.76,2918.55
382,1053.5,-95.18,2905.07
382.5,1108.37,-100.73,2885.12
383,1136.65,-103.1,2853.16
383.5,1190.14,-102.7,2886.66
384,1220.28,-109.62,2884.36
384.5,1371.16,-96.98,2843.67
385,1407.4,-76.66,2752.74
385.5,1332.1,-79.16,2712.24
386,1264.56,-89.23,2643.53
386.5,1222.17,-53.94,2676.48
387,1176.16,-68.98,2684.7
387.5,1139.51,-58.34,2650.95
388,1064.6,-37.28,2667.93
388.5,979.58,-13.23,2617.08
389,1017.44,37.76,2647.81
389.5,1082.25,71.77,2662.61
390,1128.63,82.34,2694.9
390.5,1093.36,69.72,2709.1
391,1000,93.71,2751.7
391.5,972.17,125.09,2800.89
392,985.51,119.31,2749.52
392.5,1010.92,120.3,2737.4
393,1046.21,108.16,2785.42
393.5,1077.35,107.67,2777.67
394,1113.5,115.94,2762.62
394.5,1191.59,133.71,2797.28
395,1296.84,152.96,2850.62
395.5,1669.14,124.63,2872.79
396,1709.91,169.97,2913.39
396.5,1759.59,163.35,2956.93
397,1788.11,187.11,2972.3
397.5,1785.28,226.8,2960.02
398,1809.43,224.74,2981.95
398.5,1818.73,251.37,2987.6
399,1826.32,292.64,3006.78
399.5,1775.45,284.64,3006.76
400,1731,315.48,3034.89
400.5,1786.44,340.68,3017.13
401,1828.25,340.64,3033.37
401.5,1841.36,375.55,3057.89
402,1845.38,380.09,3060.64
402.5,1848.32,426.23,3116.52
403,1830.65,398.42,3170.8
403.5,1833.66,393.78,3178.8
404,1848.39,455.76,3176.02
404.5,1685.23,522.1,3158.95
405,1689.11,591.69,3154.75
405.5,1726.08,659.51,3158.91
406,1793.02,698.7,3206.52
406.5,1985.84,772.74,3217.09
407,2017.43,830.61,3155.23
407.5,2021.18,874.82,3116.78
408,2034.54,910.34,3062.64
408.5,1957.23,937.05,3034.98
409,2159.74,949.54,3026.94
409.5,2165.27,906.06,3111.18
410,2102.11,904.12,3202.53
410.5,2059.99,869.69,3266.02
411,2048.24,866.13,3321.02
411.5,2039.91,799.97,3373.91
412,2055.68,736.69,3390.2
412.5,2061.56,714.45,3410.98
413,2011.83,675.11,3453.64
413.5,1925.58,644.39,3399.23
414,1739.57,578.55,3405.42
414.5,1649.22,467.79,3377.68
415,1579.21,382.82,3367.12
415.5,1528.61,341.35,3347.73
416,1547.21,266.78,3380.54
416.5,1568.45,198.07,3426.73
417,1504.45,92.75,3458.21
417.5,1435.26,32.83,3451.47
418,1387.93,-121.53,3473.85
418.5,1354.84,-267.53,3535.61
419,1414,-452.6,3588.86
419.5,1443.91,-628.6,3636.69
